Alimento,Fosforo,Sodio,Potasio,Image
Ciruelas,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.I86djV2v2DEtlkYRDcOSmAHaGw%26pid%3DApi&f=1&ipt=d010030b336a89be1a7fab22f9db1c8e9572b67b2501438dc96a8d0e4bbbc6ce&ipo=images
Kiwi,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.yY-FxkHTjkVHjf4Vqiv-3QHaFW%26pid%3DApi&f=1&ipt=85caefddd3652229d734cc5987c21b6cb193cdf3de3c87d114e4e55dc42f3e45&ipo=images
Cerezas,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.Jim67HPzgIcGaxPzBQ-6WgHaHa%26pid%3DApi&f=1&ipt=5cc798587a56d43b683124c00ae6ef02aa9ad666e00867f44f78ae680b13929f&ipo=images
Mango,aconsejada,aconsejada,aconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.pinimg.com%2Foriginals%2F55%2Fbe%2F95%2F55be95d8e59a25ada15a844e8230d924.jpg&f=1&nofb=1&ipt=14ce9468d7ff48324f68855a112226efa925d9f16c45ff2ca594e14b475ff41e&ipo=images
Granada,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.8EVzd7XDVFPrDuNoXlH8ewHaF0%26pid%3DApi&f=1&ipt=8d2be9d9ab9faff729b4a5479afc31e944110335c8ca4ac1a954c4f40dcf0e29&ipo=images
Nísperos,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.1FIyxM82gj-e3guLBDxe1wHaE8%26pid%3DApi&f=1&ipt=980f29e3177cdd36d22274e533cb321fbe113153479e5b42a26c05c284b467ff&ipo=images
Uva blanca,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.EwfYfjZ2KA2BktN4SSLzOQAAAA%26pid%3DApi&f=1&ipt=6e498ee490c0ca33874950b2070be48f197d3f08f3482c010a2197630ce9d213&ipo=images
Melón,aconsejada,aconsejada,limitada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.EdSnpjO11kE9eJZkCK6qcQHaGV%26pid%3DApi&f=1&ipt=68349073ca50f54da640d232568c747783113b3b6f43ca53f777792079e6823a&ipo=images
Ternera,aconsejada,aconsejada,desaconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.explicit.bing.net%2Fth%3Fid%3DOIP.r8q-B_2QPUeVK5S8l8h7dAHaEr%26pid%3DApi&f=1&ipt=7d3a25f4b5962f8fff4fa00d855ff19d1590a5fbc0d11a4cac4ba7640e119a78&ipo=images
Cordero,aconsejada,aconsejada,desaconsejada,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.6zek1LsRR4lGCi5RUmH1EgHaFV%26pid%3DApi&f=1&ipt=d796d6b90c72f42ec9a8a3e78ed6210500b3022e7939da32dc813658ce6e069b&ipo=images
